Date,buynhold,long_only,long-short
2020-03-16,1.2375157034403605,1.7907675563480732,6.370029254908666
2020-03-17,1.2854873773282176,1.8243973601569152,6.362350804210577
2020-03-18,1.220501449223877,1.7636875975381328,6.260555158370728
2020-03-19,1.2390085544871694,1.7876636191131634,6.335838253679864
2020-03-20,1.24494997174871,1.8220734093679434,6.549366401003097
2020-03-23,1.2032675556042993,1.778860068510173,6.457989952094429
2020-03-24,1.3108609235229443,1.8822860982509961,6.631489228090638
2020-03-25,1.3548606191721908,1.9381030797203789,6.802640143928124
2020-03-26,1.4045097813783016,1.9525838254852685,6.65500923165927
2020-03-27,1.3443604125853994,1.9184050884456085,6.707476131169445
2020-03-30,1.366504843870376,1.92844491629132,6.667643255339603
2020-03-31,1.3699095829584516,1.9409575847465632,6.737556057730444
2020-04-01,1.3126308424800468,1.9161595129683977,6.847555527125563
2020-04-02,1.3261000238752538,1.92124007214001,6.8136029206351365
2020-04-03,1.3072386594694398,1.9036079385502975,6.785450700446372
2020-04-06,1.3714059549634454,1.9524209458087372,6.800369130592896
2020-04-07,1.3903621548403116,1.9803213169758112,6.90118114982867
2020-04-08,1.4044362531520016,1.9772201264237064,6.809708611648143
2020-04-09,1.4315776837473855,1.9963734989535005,6.810039176807411
2020-04-13,1.4315776837473855,1.9963734989535005,6.810039176807411
2020-04-14,1.4437750032694459,1.9905192207231523,6.712076036359395
2020-04-15,1.3989795139385126,1.9683386074709819,6.770742149137068
2020-04-16,1.403868167340946,1.9719369553924049,6.771837561196301
2020-04-17,1.445604782879804,1.9904590575365075,6.697726356431366
2020-04-20,1.4422738766838767,1.993417035471126,6.733065687518649
2020-04-21,1.3951800883475858,1.9737782687917425,6.820699935408356
2020-04-22,1.4223281753881907,1.9969670048563957,6.848698798290189
2020-04-23,1.4308859675503185,2.003426769316443,6.851800068400822
2020-04-24,1.4252531057566258,1.994899511939827,6.820902698182966
2020-04-27,1.452161628959269,2.022778493641694,6.8827712930597436
2020-04-28,1.4658049003923406,2.045182667265326,6.971031825404947
